"1","99","0","1","1","aceh","aceh","nanggroe aceh darussalam","01","ac",,"utc+07:00","23111","24791",
"2","99","0","1","1","bali","bali","bali","02","ba",,"utc+08:00","80111","82262",
"3","99","0","1","1","bengkulu","southwest sumatra","southwest sumatra","03","be",,"utc+07:00","38113","39374",
"4","99","0","1","1","jakarta","special capital region of jakarta","daerah khusus ibu kota jakarta","04","jk",,"utc+07:00","10110","14530",
"5","99","0","1","1","jambi","jambi","jambi","05","ja",,"utc+07:00","36111","37573",
"6","99","0","1","1","jawa tengah","central java","jawa tengah","07","jt",,"utc+07:00","50111","59583",
"7","99","0","1","1","jawa timur","east java","jawa timur","08","ji",,"utc+07:00","60111","69493",
"8","99","0","1","1","yogyakarta","special region of yogyakarta","daerah istimewa yogyakarta","10","yo",,"utc+07:00","55111","55893",
"9","99","0","1","1","kalimantan barat","west kalimantan","kalimantan barat","11","kb",,"utc+07:00","78111","79682",
"10","99","0","1","1","kalimantan selatan","south kalimantan","kalimantan selatan","12","ks",,"utc+08:00","70111","72275",
"11","99","0","1","1","kalimantan tengah","central kalimantan","kalimantan tengah","13","kt",,"utc+07:00","73111","74874",
"12","99","0","1","1","kalimantan timur","east kalimantan","kalimantan timur","14","ki",,"utc+08:00","75111","77381",
"13","99","0","1","1","lampung","lampung","lampung","15","la",,"utc+07:00","34111","35686",
"14","99","0","1","1","nusa tenggara barat","west nusa tenggara","nusa tenggara barat","17","nb",,"utc+08:00","83115","84458",
"15","99","0","1","1","nusa tenggara timur","east nusa tenggara","nusa tenggara timur","18","nt",,"utc+08:00","85111","87284",
"16","99","0","1","1","sulawesi tengah","central sulawesi","sulawesi tengah","21","st",,"utc+08:00","94111","94976",
"17","99","0","1","1","sulawesi tenggara","southeast sulawesi","sulawesi tenggara","22","sg",,"utc+08:00","93111","93958",
"18","99","0","1","1","sumatera barat","west sumatra","sumatera barat","24","sb",,"utc+07:00","25111","27779",
"19","99","0","1","1","sumatera utara","north sumatra","sumatera utara","26","su",,"utc+07:00","20111","22998",
"20","99","0","1","1","maluku","maluku","maluku","28","ma",,"utc+09:00","97114","97668",
"21","99","0","1","1","maluku utara","north maluku","maluku utara","29","mu",,"utc+09:00","97711","97863",
"22","99","0","1","1","jawa barat","west java","jawa barat","30","jb",,"utc+07:00","16110","46475",
"23","99","0","1","1","sulawesi utara","north sulawesi","sulawesi utara","31","sa",,"utc+08:00","95111","95999",
"24","99","0","1","1","sulawesi selatan","south sulawesi","sulawesi selatan","38","sn",,"utc+08:00","90111","92985",
"25","99","0","1","1","banten","banten","banten","33","bt",,"utc+07:00","15111","42455",
"26","99","0","1","1","gorontalo","gorontalo","gorontalo","34","go",,"utc+08:00","96111","96585",
"27","99","0","1","1","kepulauan bangka belitung","bangka-belitung islands","kepulauan bangka belitung","35","bb",,"utc+07:00","33111","33791",
"28","99","0","1","1","papua","papua","papua","36","pa",,"utc+09:00","98111","99974",
"29","99","0","1","1","riau","riau","riau","37","ri",,"utc+07:00","28111","29566",
"30","99","0","1","1","sumatera selatan","south sumatra","sumatera selatan","32","ss",,"utc+07:00","30111","32387",
"31","99","0","1","1","papua barat","papua barat","papua barat","39","pb",,"utc+09:00","98311","98662",
"32","99","0","1","1","kepulauan riau","riau islands","kepulauan riau","40","kr",,"utc+07:00","29111","29875",
"33","99","0","1","1","sulawesi barat","west sulawesi","sulawesi barat","41","sr",,"utc+08:00","91311","96365",
"34","99","0","1","1","kalimantan utara","north kalimantan","kalimantan utara","42","KU",NULL,"utc+08:00","77111","77573",
