"46711","216",NULL,"1","1","amnat charoen","amnat charoen","อำนาจเจริญ","77",NULL,NULL,"utc+07:00",NULL,NULL,
"46712","216",NULL,"1","1","ang thong","ang thong","อ่างทอง","35",NULL,NULL,"utc+07:00",NULL,NULL,
"47271","216",NULL,"6","1","bangkok","krung thep maha nakhon","กรุงเทพมหานคร","40",NULL,NULL,"utc+07:00",NULL,NULL,
"47272","216",NULL,"1","1","bueng kan","bueng kan","บึงกาฬ","81",NULL,NULL,"utc+07:00",NULL,NULL,
"47760","216",NULL,"1","1","buriram","buriram","บุรีรัมย์","28",NULL,NULL,"utc+07:00",NULL,NULL,
"47761","216",NULL,"1","1","chachoengsao","chachoengsao","ฉะเชิงเทรา","44",NULL,NULL,"utc+07:00",NULL,NULL,
"48127","216",NULL,"1","1","chai nat","chai nat","ชัยนาท","32",NULL,NULL,"utc+07:00",NULL,NULL,
"48128","216",NULL,"1","1","chaiyaphum","chaiyaphum","ชัยภูมิ","26",NULL,NULL,"utc+07:00",NULL,NULL,
"48414","216",NULL,"1","1","chanthaburi","chanthaburi","จันทบุรี","48",NULL,NULL,"utc+07:00",NULL,NULL,
"48415","216",NULL,"1","1","chiang mai","chiang mai","เชียงใหม่","02",NULL,NULL,"utc+07:00",NULL,NULL,
"48791","216",NULL,"1","1","chiang rai","chiang rai","เชียงราย","03",NULL,NULL,"utc+07:00",NULL,NULL,
"48792","216",NULL,"1","1","chonburi","chonburi","ชลบุรี","46",NULL,NULL,"utc+07:00",NULL,NULL,
"49131","216",NULL,"1","1","chumphon","chumphon","ชุมพร","58",NULL,NULL,"utc+07:00",NULL,NULL,
"49132","216",NULL,"1","1","kalasin","kalasin","กาฬสินธุ์","23",NULL,NULL,"utc+07:00",NULL,NULL,
"49715","216",NULL,"1","1","kamphaeng phet","kamphaeng phet","กำแพงเพชร","11",NULL,NULL,"utc+07:00",NULL,NULL,
"49716","216",NULL,"1","1","kanchanaburi","kanchanaburi","กาญจนบุรี","50",NULL,NULL,"utc+07:00",NULL,NULL,
"50109","216",NULL,"1","1","khon kaen","khon kaen","ขอนแก่น","22",NULL,NULL,"utc+07:00",NULL,NULL,
"50110","216",NULL,"1","1","krabi","krabi","กระบี่","63",NULL,NULL,"utc+07:00",NULL,NULL,
"51199","216",NULL,"1","1","mae hong son","mae hong son","แม่ฮ่องสอน","01",NULL,NULL,"utc+07:00",NULL,NULL,
"51609","216",NULL,"1","1","nan","nan","น่าน","04",NULL,NULL,"utc+07:00",NULL,NULL,
"51610","216",NULL,"1","1","lamphun","lamphun","ลำพูน","05",NULL,NULL,"utc+07:00",NULL,NULL,
"51838","216",NULL,"1","1","lampang","lampang","ลำปาง","06",NULL,NULL,"utc+07:00",NULL,NULL,
"51839","216",NULL,"1","1","phrae","phrae","แพร่","07",NULL,NULL,"utc+07:00",NULL,NULL,
"52072","216",NULL,"1","1","tak","tak","ตาก","08",NULL,NULL,"utc+07:00",NULL,NULL,
"52073","216",NULL,"1","1","sukhothai","sukhothai","สุโขทัย","09",NULL,NULL,"utc+07:00",NULL,NULL,
"52372","216",NULL,"1","1","uttaradit","uttaradit","อุตรดิตถ์","10",NULL,NULL,"utc+07:00",NULL,NULL,
